iter	Passed	Remaining
0	192	191872
1	213	106444
2	225	74828
3	243	60601
4	256	51125
5	279	46291
6	297	42174
7	314	39001
8	332	36653
9	354	35128
10	382	34374
11	421	34676
12	485	36861
13	510	35952
14	544	35774
15	574	35323
16	612	35395
17	651	35551
18	712	36788
19	746	36583
20	786	36667
21	823	36618
22	853	36271
23	879	35757
24	905	35314
25	958	35918
26	1005	36245
27	1059	36775
28	1097	36737
29	1130	36548
30	1160	36282
31	1188	35966
32	1213	35566
33	1238	35194
34	1267	34958
35	1294	34675
36	1324	34463
37	1364	34545
38	1396	34420
39	1427	34258
40	1462	34207
41	1495	34100
42	1528	34014
43	1557	33837
44	1585	33652
45	1611	33413
46	1651	33478
47	1672	33179
48	1692	32849
49	1718	32660
50	1741	32413
51	1770	32277
52	1804	32249
53	1826	31991
54	1857	31909
55	1884	31767
56	1915	31694
57	1939	31495
58	1958	31239
59	1983	31082
60	2004	30856
61	2021	30588
62	2048	30465
63	2072	30303
64	2100	30208
65	2124	30059
66	2154	29997
67	2186	29974
68	2220	29964
69	2269	30156
70	2319	30355
71	2353	30337
72	2390	30361
73	2443	30578
74	2475	30526
75	2514	30567
76	2548	30543
77	2578	30483
78	2602	30337
79	2623	30175
80	2646	30027
81	2667	29863
82	2691	29738
83	2713	29590
84	2732	29416
85	2749	29216
86	2772	29090
87	2783	28844
88	2806	28725
89	2823	28548
90	2842	28389
91	2860	28227
92	2877	28065
93	2898	27933
94	2913	27750
95	2930	27593
96	2945	27424
97	2970	27337
98	2992	27233
99	3012	27109
100	3038	27048
101	3058	26926
102	3078	26808
103	3104	26744
104	3127	26657
105	3146	26536
106	3170	26461
107	3191	26359
108	3210	26242
109	3234	26167
110	3246	26001
111	3267	25909
112	3282	25764
113	3302	25664
114	3320	25556
115	3339	25448
116	3357	25342
117	3373	25215
118	3392	25119
119	3408	24995
120	3432	24937
121	3452	24844
122	3468	24732
123	3489	24648
124	3504	24534
125	3522	24436
126	3540	24335
127	3556	24226
128	3574	24131
129	3588	24013
130	3605	23919
131	3622	23817
132	3637	23709
133	3653	23609
134	3668	23507
135	3685	23415
136	3703	23330
137	3720	23240
138	3737	23152
139	3752	23052
140	3768	22960
141	3784	22869
142	3801	22784
143	3819	22704
144	3834	22608
145	3848	22511
146	3863	22416
147	3877	22322
148	3888	22210
149	3900	22100
150	3913	22001
151	3926	21908
152	3941	21821
153	3951	21710
154	3965	21618
155	3979	21530
156	3993	21441
157	4007	21358
158	4020	21267
159	4032	21171
160	4047	21093
161	4062	21017
162	4077	20937
163	4094	20869
164	4110	20801
165	4126	20733
166	4145	20676
